First name,Last name,Title,Organization,,
Elly,De La Cruz,Shortstop,Cincinnati Reds,,
Joe,Burrow,Quarterback,Cincinnati Bengals,,
"Ja'Marr
Matt","Chase
Miazga","Wide Receiver
Defender",Cincinnati Bengals,,
,,,FC Cincinnati,,
Miles,Robinson,Defender,FC Cincinnati,,
Caroline,Blackburn,Senior Manager of Digital Strategy,Cincinnati Bengals,,
"Emil
Eliana","Barr
Batsakis","Founder
Founder","Step Up Social
Eliana Batsakis",,
David,Wysong,Trending News Editor,The Cincinnati Enquirer,,
Emilee,Chinn,Photographer,Cincinnati Reds,,
"Laura
Hannah","Castillo
Sagel","Director
Brand Director",City of Cincinnati Department of Economic Inclusion,,
,,,Procter & Gamble,,
Chase,Crawford,Founder,Four by Three,,
Ben,Baumeister,Senior Director of Event Strategy,Cincinnati Open,,
"Michael
Matine","Thompson
Yuksel","Founder
Cofounder",Michael Thompson Studios,,
,,,Beltways,,
Gus,Ricksecker,"Chief of Staff, Councilmember Reggie Harris",City of Cincinnati,,
Romain,Mayambi,Photographer,,,
"Chelsea
Anu","Hindman
Vora","Cofounder
Founder",Willow Boutique,,
,,,Mindfully Behavioral Health,,
Jaeydah,Edwards,Senior Program Director,Groundwork Ohio River Valley,,
Benny,Russert,Director,Vitis Technologies,,
"Connor
Evan","Paton
Fix","Cofounder
Cofounder","Noshable
Noshable",,
Macallan,Hoeweler,Cofounder,Noshable,,
Isaac,Hamlin,Founder,Better Blend,,
"Kayla
Caden","Braden
Adams","Cofounder
Cofounder","Peachy and Vintage
Peachy and Vintage",,
Sam,Heareth,Owner,Greenhouse Cafe,,
Taylor,Berling,Founder,Inner Vision Pilates,,
Molly,Rizkallah,CEO,Cincy Carbon,,
Zachary,Beller,Cofounder,Vixiv,,
Aaron,Chow,Cofounder,Vixiv,,
Chantal,Phillip,Creator,,,
